Study_Hours,Sleep_Hours,Attendance,Previous_Score,Final_Score
4.37,7.21,55.16,40.14,50.21
9.56,4.42,95.13,46.72,77.54
7.59,4.81,75.26,40.62,73.3
6.39,8.49,91.32,35.32,79.55
2.4,7.03,66.0,37.24,55.6
2.4,4.05,94.78,57.65,43.92
1.52,4.51,69.46,42.38,32.8
8.8,7.32,50.54,51.86,71.8
6.41,4.03,95.27,60.21,63.07
7.37,4.8,54.56,71.42,67.43
1.19,6.74,65.97,32.36,32.94
9.73,7.46,97.5,77.96,96.24
8.49,7.26,97.53,67.67,81.23
2.91,5.12,78.67,34.91,44.1
2.64,7.56,81.59,82.41,52.73
2.65,5.19,72.42,85.25,40.9
3.74,5.63,64.66,33.66,52.25
5.72,7.73,66.43,46.61,64.4
4.89,7.25,83.63,78.37,59.41
3.62,8.25,87.62,74.9,57.76
6.51,7.29,89.58,41.07,68.23
2.26,6.84,89.48,42.56,60.04
3.63,4.47,54.56,52.23,42.76
4.3,5.84,74.72,59.07,48.04
5.1,5.33,52.88,67.1,52.45
8.07,5.22,77.48,52.13,67.27
2.8,8.87,72.08,57.75,44.49
5.63,5.97,94.39,74.85,66.5
6.33,8.46,67.55,32.2,66.28
1.42,7.16,55.85,45.15,46.31
6.47,7.97,57.15,72.8,77.75
2.53,6.51,88.08,83.71,61.3
1.59,6.88,80.91,60.7,47.9
9.54,6.46,55.06,61.93,69.22
9.69,4.98,54.21,36.43,81.04
8.28,7.61,85.05,56.84,78.93
3.74,5.4,53.64,61.96,48.17
1.88,4.12,91.09,44.55,42.43
7.16,7.23,85.31,46.15,72.98
4.96,4.89,54.07,52.64,49.86
2.1,8.7,54.24,31.2,45.6
5.46,8.77,99.33,49.32,70.2
1.31,8.57,68.71,42.69,48.81
9.18,5.85,68.53,49.65,70.24
3.33,4.08,90.64,37.19,43.83
6.96,8.64,97.36,83.43,82.12
3.81,6.14,99.3,65.62,58.79
5.68,8.83,87.67,70.75,81.35
5.92,8.82,68.81,77.35,58.38
2.66,8.27,54.18,59.91,57.73
9.73,5.47,88.86,35.22,82.85
7.98,5.93,77.92,62.23,61.12
9.46,8.26,71.21,65.21,81.64
9.05,5.58,95.32,74.73,77.65
6.38,4.85,55.56,55.9,49.73
9.3,6.78,74.63,37.65,72.34
1.8,8.68,50.57,47.03,42.49
2.76,7.48,73.43,51.78,62.12
1.41,6.85,52.82,68.76,48.3
3.93,4.49,55.94,64.25,53.14
4.5,7.08,55.88,51.37,59.14
3.44,8.95,82.46,89.19,60.39
8.46,4.7,87.3,66.35,69.41
4.21,6.59,79.17,44.23,59.32
3.53,8.39,98.11,36.11,56.4
5.88,7.7,68.74,39.17,67.88
2.27,7.49,64.29,44.76,47.66
8.22,7.51,93.43,39.64,76.19
1.67,5.8,61.18,41.19,43.99
9.88,5.47,98.16,47.11,82.5
7.95,8.05,50.61,40.4,68.3
2.79,8.05,98.49,83.81,69.18
1.05,8.34,52.16,34.81,37.71
8.34,8.57,94.56,61.47,87.19
7.36,6.56,76.39,54.62,72.82
7.56,6.51,99.65,88.94,77.04
7.94,7.99,53.69,36.72,71.78
1.67,7.25,77.69,53.87,43.09
4.23,7.51,98.47,88.17,72.56
2.04,7.98,76.15,81.93,54.61
8.77,8.45,81.47,79.02,82.0
6.61,5.69,84.79,45.47,70.26
3.98,5.88,72.73,40.25,48.6
1.57,4.47,81.38,70.12,35.94
3.8,6.89,79.22,85.76,52.51
3.93,4.18,95.06,63.41,56.63
7.57,6.33,52.27,64.3,59.73
6.74,6.71,64.05,46.8,73.36
8.98,5.43,97.52,76.17,68.95
5.25,6.95,94.51,41.22,73.37
2.08,4.15,72.78,49.42,41.32
7.42,4.19,81.01,55.53,63.51
7.85,8.11,63.87,60.46,71.82
6.05,5.8,59.41,44.54,59.94
7.94,4.64,73.18,36.89,63.8
5.44,6.61,67.67,66.64,67.32
5.7,7.85,79.18,47.32,67.51
4.85,5.08,53.89,64.87,52.65
1.23,7.11,98.72,39.26,48.11
1.97,4.43,99.31,58.87,46.63
1.28,4.26,84.91,61.96,42.62
6.73,6.66,76.8,33.11,57.0
3.83,6.7,65.48,50.2,46.8
5.58,7.19,90.69,38.06,69.53
9.17,7.63,84.24,33.8,80.65
3.24,8.88,58.13,89.4,59.26
4.69,6.58,95.55,49.34,62.65
7.8,5.61,91.13,78.59,75.87
3.06,7.98,97.49,45.28,57.49
1.69,5.35,86.29,70.89,43.29
3.61,6.19,80.67,75.61,57.69
2.45,4.39,70.91,65.74,38.85
9.37,4.13,96.64,58.29,77.05
8.27,8.81,93.3,54.71,75.15
6.7,8.18,52.26,50.93,72.03
8.84,7.48,51.32,85.77,79.02
8.23,6.04,68.82,79.84,74.09
2.68,4.87,90.53,87.9,57.13
9.03,4.78,99.36,37.46,82.42
5.85,5.25,57.52,73.85,63.13
8.27,6.75,79.71,86.3,68.67
9.06,7.57,69.04,40.87,70.48
3.86,7.3,98.5,33.99,57.33
1.99,5.4,92.11,74.47,50.16
3.05,8.77,91.92,64.47,65.95
4.84,7.69,73.43,80.51,61.55
8.36,6.77,70.74,38.39,72.68
8.75,7.06,63.67,77.72,72.89
1.06,6.1,52.82,42.1,34.26
5.6,5.24,93.24,39.82,53.7
4.76,5.78,90.65,39.86,53.86
3.0,7.79,99.99,78.87,56.49
2.08,4.07,99.83,69.91,42.61
4.04,4.58,77.77,61.38,56.86
9.49,4.23,88.45,51.53,68.73
3.91,4.2,97.24,82.63,69.12
5.67,8.28,92.48,53.55,73.83
7.33,7.52,62.37,79.0,73.16
4.27,6.37,72.53,56.35,52.05
9.75,4.49,56.46,52.62,72.51
9.66,6.46,97.7,57.76,80.46
3.27,6.37,80.31,48.08,53.65
5.48,4.87,61.43,74.86,69.07
3.71,6.17,83.59,60.16,55.59
3.56,5.99,80.91,43.93,58.55
1.33,7.08,67.91,83.97,45.03
6.49,7.18,55.68,53.03,63.73
5.52,4.23,83.58,62.61,66.61
1.46,5.87,76.02,84.39,43.98
3.51,7.13,88.62,67.45,68.95
9.17,6.52,76.01,37.01,78.69
3.16,8.28,92.61,86.39,61.82
2.3,7.29,77.6,67.66,56.54
5.41,4.81,78.05,50.09,61.55
9.87,4.35,93.83,38.36,78.25
3.18,7.21,70.17,77.64,48.3
7.05,4.13,56.7,67.2,55.02
7.85,6.93,51.44,62.01,67.46
3.14,8.7,87.76,83.63,64.2
7.55,6.88,81.02,77.32,77.89
4.31,5.94,85.2,39.1,56.9
6.69,7.22,60.65,48.7,58.74
6.7,6.29,56.82,44.91,63.44
5.82,6.73,50.73,74.64,64.13
1.81,8.71,67.53,32.01,52.88
8.52,5.93,79.5,64.19,79.58
3.89,8.81,69.61,75.75,67.63
2.68,8.53,71.87,82.61,61.23
1.37,4.98,95.21,50.52,44.15
6.32,4.35,67.41,79.28,51.42
7.1,4.5,75.7,36.64,62.86
1.15,4.09,89.18,80.79,43.82
5.61,4.47,69.83,37.65,54.94
